"filename", "language", "TypeScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/app-routing-module.ts", "TypeScript", 54, 0, 0, 0, 2, 4, 60
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/app.component.html", "HTML", 0, 0, 80, 0, 5, 5, 90
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/app.component.ts", "TypeScript", 99, 0, 0, 0, 19, 11, 129
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/app.module.ts", "TypeScript", 128, 0, 0, 0, 0, 7, 135
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/fallback/page-not-found.component.html", "HTML", 0, 0, 5, 0, 0, 0, 5
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/fallback/page-not-found.component.ts", "TypeScript", 8, 0, 0, 0, 5, 3, 16
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/helpers/auth.guard.ts", "TypeScript", 52, 0, 0, 0, 12, 3, 67
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/helpers/auth.interceptor.ts", "TypeScript", 20, 0, 0, 0, 7, 4, 31
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/helpers/error.interceptor.ts", "TypeScript", 31, 0, 0, 0, 7, 4, 42
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/helpers/handle.error.ts", "TypeScript", 28, 0, 0, 0, 9, 1, 38
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/home/home.component.html", "HTML", 0, 0, 4, 0, 0, 0, 4
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/home/home.component.ts", "TypeScript", 11, 0, 0, 0, 4, 3, 18
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/login/login-dialog.component.css", "CSS", 0, 14, 0, 0, 0, 4, 18
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/login/login-dialog.component.html", "HTML", 0, 0, 18, 0, 0, 5, 23
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/login/login-dialog.component.ts", "TypeScript", 37, 0, 0, 0, 17, 5, 59
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/new-course/new-course-dialog.component.css", "CSS", 0, 11, 0, 0, 0, 3, 14
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/new-course/new-course-dialog.component.html", "HTML", 0, 0, 16, 0, 0, 6, 22
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/new-course/new-course-dialog.component.ts", "TypeScript", 35, 0, 0, 0, 0, 6, 41
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/new-vm/new-vm.component.css", "CSS", 0, 11, 0, 0, 0, 3, 14
